school_name,school_district,school_level,school_state,school_students
BRIDGE ELEMENTARY SCHOOL,KANAWHA COUNTY SCHOOLS,Elementary,WV,962
SAM PERDUE JUVENILE CENTER,INSTITUTIONAL EDUCATIONAL PROGRAMS,Other,WV,866
Garrett Middle School,Cobb County,Middle,GA,411
FAIRVIEW PROGRAM,Elk River School District,High,MN,477
Traverse City High School,Traverse City Area Public Schools,High,MI,651
City of Angels,Los Angeles Unified,Other,CA,650
Mountain View Elementary,McMinn County,Elementary,TN,308
OAKDALE ELEMENTARY,RANKIN CO SCHOOL DIST,Elementary,MS,534
HARRISBURG MIDDLE,HARRISBURG R-VIII,Middle,MO,184
John R Kment Elementary School,Roseville Community Schools,Elementary,MI,792
Pine View Elementary,Cumberland County,Elementary,TN,316
Mill Valley Elementary School,Marysville Exempted Village,Elementary,OH,796
Helena Intermediate School,Shelby County,Elementary,AL,121
Oak Creek East Middle,Oak Creek-Franklin Joint School District,Middle,WI,878
Clay High School,South Bend Community School Corp,High,IN,513
Dennis Elementary,Lee 01,Elementary,SC,967
Hillcrest Elementary,Dublin City,Elementary,GA,835
Jay Stream Middle School,CCSD 93,Middle,IL,194
Huddleston Elementary School,Fayette County,Elementary,GA,499
ESCE Program,Millington Community Schools,Prekindergarten,MI,120
South Central Elementary School,South Central Com School Corp,Elementary,IN,882
Colwich Elem,Renwick,Elementary,KS,881
LEE AVENUE SCHOOL,HICKSVILLE UNION FREE SCHOOL DISTRICT,Elementary,NY,215
John Small Elementary,Beaufort County Schools,Elementary,NC,216
CLARENCE LAWSON ELEM.,JEFFERSON CITY,Elementary,MO,672
Independence Charter,Salida Union Elementary,Elementary,CA,902
Valley High,Kane District,High,UT,540
HOLDEN HIGH,HOLDEN R-III,High,MO,577
Jordan (June) School for Equity,San Francisco Unified,High,CA,673
BEACON PROGRAM W CENTRAL ED. DIST.,WEST CENTRAL EDUCATION DISTRICT,Other,MN,533
Nichols Elementary,Oceanside Unified,Elementary,CA,847
OAKRIDGE ELEM,ARLINGTON CO PBLC SCHS,Elementary,VA,491
TUTTLE MS,TUTTLE,Middle,OK,386
JEFFERSON VIRTUAL INSTRUCTION PROGRAM,JEFFERSON,Other,FL,373
Legacy Traditional School - Goodyear,Legacy Traditional School - Goodyear (1000283),Elementary,AZ,894
Parkside Elementary,Park County School District # 1,Elementary,WY,353
Aspire Charter Academy,Aspire Charter Academy,Elementary,IN,205
Walnut Creek Middle School,Walled Lake Consolidated Schools,Middle,MI,455
BRIDGEPORT MIDDLE SCHOOL,HARRISON COUNTY SCHOOLS,Middle,WV,417
Edmonds Career Access Program,Edmonds School District,High,WA,312
Sheridan Elementary,Sheboygan Area School District,Elementary,WI,305
Doe Run El Sch,Manheim Central SD,Elementary,PA,683
Ridgewood Elem School,Rock Island SD 41,Elementary,IL,160
North Central Middle,Kershaw 01,Middle,SC,500
Greystone Park Psychiatric Hospital,OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES,Not reported,NJ,114
MILLSAP H S,MILLSAP ISD,High,TX,380
San Diego Metro Career and Tech,San Diego Unified,High,CA,800
Nancy Young Elementary School,Indian Prairie CUSD 204,Elementary,IL,742
Unaka High School,Carter County,High,TN,505
RULON M ELLIS ELEMENTARY SCHOOL,POCATELLO DISTRICT,Elementary,ID,545
Grover Cleveland Middle School,CALDWELL-WEST CALDWELL SCHOOL DISTRICT,Middle,NJ,638
Freedom Elementary School,Freedom School District,Elementary,NH,869
Worthwoods Elem School,Worth SD 127,Elementary,IL,526
Ramey-Estep High School,Boyd County,High,KY,993
North Arlington High School,North Arlington School District,High,NJ,735
South Elementary,Hingham,Elementary,MA,698
Appleton Village School,Appleton Public Schools,Elementary,ME,247
NORTHWESTERN HIGH,NORTHWESTERN R-I,High,MO,587
GLEN COVE EL,YSLETA ISD,Elementary,TX,612
MONROE 1 BOCES,MONROE 1 BOCES,Other,NY,233
INOCENCIO A. MONTERO,PUERTO RICO DEPARTMENT OF EDUCATION,Elementary,PR,224
PETER SARPY ELEMENTARY SCHOOL,BELLEVUE PUBLIC SCHOOLS,Elementary,NE,806
Watchung Hills Regional High School,Watchung Hills Regional High School District,High,NJ,700
Houghton Lake JrSr High School,Houghton Lake Community Schools,High,MI,100
Chapelfield Elementary School,Gahanna-Jefferson City,Elementary,OH,512
VIRGINIA HEIGHTS ELEM,ROANOKE CITY PBLC SCHS,Elementary,VA,189
ANDERSEN ELEMENTARY,STILLWATER AREA PUBLIC SCHOOL DIST.,Elementary,MN,279
Bryant Elementary School,Dubuque Comm School District,Elementary,IA,314
EAST ELEMENTARY SCHOOL,MOUNTAIN HOME DISTRICT,Elementary,ID,676
Siliaga Elementary School,American Samoa Department of Education,Elementary,AS,314
ILEANA DE GRACIA (SUPERIOR NUEVA),PUERTO RICO DEPARTMENT OF EDUCATION,High,PR,954
Buckeye Local Junior High,Buckeye Local,Middle,OH,288
Houston County High School,Houston County,High,AL,247
Sunrise Ridge Intermediate,Washington District,Middle,UT,395
GREAT NECK NORTH MIDDLE SCHOOL,GREAT NECK UNION FREE SCHOOL DISTRICT,Middle,NY,109
MAPLE WEST ELEMENTARY SCHOOL,WILLIAMSVILLE CENTRAL SCHOOL DISTRICT,Elementary,NY,107
Dunbar Vocational Career Acad HS,City of Chicago SD 299,High,IL,860
